source,source_job_id,company,title,location,latitude,longitude,employment_type,workplace_type,detected_intents,course_scores,url
lever,fe7531e1-c25e-4e4a-9661-19e3a2ab8e69,Shield AI,Ground System Software Engineer (R4787),"Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 70, ""mechanical_engineering"": 0, ""civil_engineering"": 9, ""production_engineering"": 12, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/fe7531e1-c25e-4e4a-9661-19e3a2ab8e69
lever,55e14c5c-ee01-4c42-afc1-3583cf5e93d9,Shield AI,Hardware Reliability Lab Engineer II (R5142),"Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 17, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/55e14c5c-ee01-4c42-afc1-3583cf5e93d9
lever,6d6a32da-b985-45ea-adc2-1e67d4791f5a,Shield AI,"Head of Business Development, Japan (R3905)",Tokyo,35.6895,139.69171,International EOR,onsite,internship,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 85, ""data_science"": 0}",https://jobs.lever.co/shieldai/6d6a32da-b985-45ea-adc2-1e67d4791f5a
lever,82d77ad7-8e95-4f86-b1f3-9d3a21b6ee1d,Shield AI,"Head of Business Development, Middle East (R5057)",Abu Dhabi,24.45118,54.39696,International Office Entity,onsite,internship,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 85, ""data_science"": 0}",https://jobs.lever.co/shieldai/82d77ad7-8e95-4f86-b1f3-9d3a21b6ee1d
lever,34fdab35-7536-4bc2-b042-4523ffefc140,Shield AI,Internal Communications Manager (R5918),"Washington, DC",38.89511,-77.03637,Full Time Employee,hybrid,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/34fdab35-7536-4bc2-b042-4523ffefc140
lever,14e8255e-71ee-4918-bcaf-aad5994fbec4,Shield AI,Lead GTM Finance Analyst (R5361),"Washington, DC",38.89511,-77.03637,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 15, ""administration"": 59, ""data_science"": 9}",https://jobs.lever.co/shieldai/14e8255e-71ee-4918-bcaf-aad5994fbec4
lever,5a5b5be3-73ed-45a1-b21b-915c0a522ac7,Shield AI,"Lead Mechanical Engineer, Hardware Test (X-BAT) (R5271)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 17, ""computer_science"": 0, ""mechanical_engineering"": 79, ""civil_engineering"": 9, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/5a5b5be3-73ed-45a1-b21b-915c0a522ac7
lever,81e6b6aa-b8b8-4360-b33e-88afadfea9af,Shield AI,Lead Program Finance (R5875),"Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 15, ""administration"": 59, ""data_science"": 0}",https://jobs.lever.co/shieldai/81e6b6aa-b8b8-4360-b33e-88afadfea9af
lever,bd8a469f-78ae-4a87-a1a8-e4c5c5b12e85,Shield AI,Lead Program Finance Analyst (R5625),"Washington, DC",38.89511,-77.03637,Full Time Employee,hybrid,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 59, ""data_science"": 0}",https://jobs.lever.co/shieldai/bd8a469f-78ae-4a87-a1a8-e4c5c5b12e85
lever,7288397f-6318-4d86-a4de-1f321ce3cc85,Shield AI,Manager of Engineering - Autonomous Pilot Integration (R5153),"Washington, DC",38.89511,-77.03637,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 12, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/7288397f-6318-4d86-a4de-1f321ce3cc85
lever,1110e024-0cd0-437a-8ed3-76869e925700,Shield AI,"Manager, Accounting (R5543)","San Diego, California",32.71571,-117.16472,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 9, ""production_engineering"": 12, ""administration"": 12, ""data_science"": 0}",https://jobs.lever.co/shieldai/1110e024-0cd0-437a-8ed3-76869e925700
lever,c5904085-73f0-44b4-8704-faf3b9789d4c,Shield AI,"Manager, Accounting (R5544)","San Mateo, California",14.6982,121.1236,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 9, ""production_engineering"": 12, ""administration"": 12, ""data_science"": 0}",https://jobs.lever.co/shieldai/c5904085-73f0-44b4-8704-faf3b9789d4c
lever,7cc0e741-8e36-4d49-8046-ba051a535705,Shield AI,"Manager, Autonomy Applications Engineering (R5188)",London,51.50853,-0.12574,International Office Entity,onsite,internship,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/7cc0e741-8e36-4d49-8046-ba051a535705
lever,003b0edf-550d-4110-b246-38d628a46a94,Shield AI,"Manager, Engineering - Software Integration (R5237)","San Diego, California",32.71571,-117.16472,Full Time Employee,onsite,,"{""electrical_engineering"": 18, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/003b0edf-550d-4110-b246-38d628a46a94
lever,5265dba8-172f-4026-a9a0-0032c05c89b3,Shield AI,"Manager, Engineering - Structural Design (R5633)","Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 9, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/5265dba8-172f-4026-a9a0-0032c05c89b3
lever,79945606-9d3f-4b46-905b-8cfd362fae3f,Shield AI,"Manager, Propulsion (Engine) (R5086)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 12, ""computer_science"": 0, ""mechanical_engineering"": 12, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/79945606-9d3f-4b46-905b-8cfd362fae3f
